"location_id","location_name","location_city","location_state","location_country","location_map_link"
"a94f5251-3484-4b8e-90df-fbc15b0cf375","Ballroom A-F","","","",""
"0522ae00-7c31-4f8c-ab7a-b668a7ee0a59","Ballroom H & K","","","",""
"a73dc105-039e-467b-9047-b8f37bb0f1ba","Ballroom G & J","","","",""
"28e89ca6-8a47-43a9-b4ae-a3ee04e71a58","Ballroom L & I","","","",""
"a6d13886-0264-4d78-9336-7f83d74d6f3a","Hilton Americas Houston","","","",""
"947e110f-829a-4f3b-acc8-fdbf2b5720ee","Room 335","","","",""
"6e892bc5-0333-48c4-92be-6640e425720f","Lanier G","","","",""
"f2dd13fc-7dca-40f2-a401-2123f671b5d8","Lanier J","","","",""
"d62369d0-1fd9-494e-ac79-109a2d07d1ac","Lanier K","","","",""
"5a58bff9-9d76-4ea0-97e6-73566abc0a0a","Lanier H","","","",""
"ae32d1d0-43cb-49c2-821c-d145c84c5a94","Lanier L","","","",""
"17d028ea-92f1-4911-baf7-a45706a0df23","Lanier I","","","",""
