"record_id","session_id","title","abstract","start_time_utc","end_time_utc","start_time_event_local","end_time_event_local","session_type","session_format","effective_location_name"
"39f6c8e4-ed13-46f9-9fcc-3d8dcee577f5","52de90f1-dbe1-47a6-8eb2-462056d3663c","Getting Started with Positron: An AI-Ready Polyglot Workflow for Data Science","<p>This virtual three hour workshop provides a quick start for R and Python users who are curious about Positron, Posit’s new AI-ready polyglot code editor for data science. Here, you will learn how to use Positron’s time saving features to do a typical end-to-end data science task. Along the way, you will learn how to:</p>
<ul>
<li>Install packages and set up a reproducible environment</li>
<li>Connect to a database</li>
<li>Add Positron Extensions&nbsp;</li>
<li>Navigate the Command Palette</li>
<li>Configure Positron to use your favorite LLM model provider</li>
<li>Write, Edit, and Debug code with Positron’s built in AI Client</li>
<li>Use an LLM to explain and translate code</li>
<li>Learn the best practices for cleaning and exploring data with LLMs</li>
<li>Publish APIs, docs, apps and more with the Posit Publisher extension</li>
</ul>
<p>This workshop will be a good fit for you as long as you have a basic familiarity with at least one of R or Python. No installation is necessary. Posit will provide a cloud environment equipped with both Positron and the LLMs we will use during class.</p>
",2026-09-14 08:00:00,2026-09-14 11:00:00,"2026-09-14 03:00:00 CDT","2026-09-14 06:00:00 CDT","Virtual","VIRTUAL",
"75895239-3b97-422d-92cb-ffd0672b4890","294d8cb4-7c42-44d3-8ad4-8797ce918c4d","Getting Started with Positron: An AI-Ready Polyglot Workflow for Data Science","<p>This virtual three hour workshop provides a quick start for R and Python users who are curious about Positron, Posit’s new AI-ready polyglot code editor for data science. Here, you will learn how to use Positron’s time saving features to do a typical end-to-end data science task. Along the way, you will learn how to:</p>
<ul>
<li>Install packages and set up a reproducible environment</li>
<li>Connect to a database</li>
<li>Add Positron Extensions&nbsp;</li>
<li>Navigate the Command Palette</li>
<li>Configure Positron to use your favorite LLM model provider</li>
<li>Write, Edit, and Debug code with Positron’s built in AI Client</li>
<li>Use an LLM to explain and translate code</li>
<li>Learn the best practices for cleaning and exploring data with LLMs</li>
<li>Publish APIs, docs, apps and more with the Posit Publisher extension</li>
</ul>
<p>This workshop will be a good fit for you as long as you have a basic familiarity with at least one of R or Python. No installation is necessary. Posit will provide a cloud environment equipped with both Positron and the LLMs we will use during class.</p>
",2026-09-14 13:00:00,2026-09-14 16:00:00,"2026-09-14 08:00:00 CDT","2026-09-14 11:00:00 CDT","Virtual","VIRTUAL",
"4d34751e-3039-44af-919f-8e99d798ec1d","871f67cc-5d34-434d-9a0d-43fc1f5f011b","Administering and Orchestrating Next-Gen Statistical Environments for AI and Open Source Enabled Infrastructure for Regulated Use Cases","<p>This workshop will explore practical approaches to building reproducible, well-governed R environments for regulated pharmaceutical work. We will discuss package management, risk-based package validation, deployment options such as containers and managed platforms, and the controls needed to support traceability, change management, and production readiness. Through interactive discussion, participants will consider what a minimum viable approach looks like for administering R environments across research, development, and GxP use cases. We’ll also look at the impact of AI on regulated environments.</p>
",2026-09-14 14:00:00,2026-09-14 22:00:00,"2026-09-14 09:00:00 CDT","2026-09-14 17:00:00 CDT","In-person","IN_PERSON","Lanier G"
"438a99b2-f727-4361-913a-5d103356addf","8f6109ce-4370-4ec3-afe0-8a71947b7363","AI-Powered Clinical Reporting in R with the Pharmaverse","<p>Modern clinical reporting workflows are evolving fast, and this workshop helps you keep pace with a practical, end-to-end approach in R. You’ll learn how to move from raw data to analysis deliverables using Pharmaverse tools, including standards-aligned SDTM preparation, efficient creation of ADaM datasets, and generation of high-quality tables, listings, and graphs (TLGs) supported by Analysis Results Datasets (ARDs). You’ll also see where AI-assisted tooling can fit naturally into the workflow to support faster iteration and reduce manual rework, without sacrificing transparency, reproducibility, or reviewability. Leave with a modular, reusable playbook for applying R to every stage of clinical reporting across your team.</p>
",2026-09-14 14:00:00,2026-09-14 22:00:00,"2026-09-14 09:00:00 CDT","2026-09-14 17:00:00 CDT","In-person","IN_PERSON","Lanier J"
"96e23f23-cdcf-4c3e-84a0-561968461df0","a84848c9-f8fb-40f3-88aa-a443c52b64d4","Modern Data Science in Python","<p>As the data science landscape evolves, many practitioners are looking to expand their toolkit to include Python. Led by Jeroen Janssens, author of the book <em>Python Polars: The Definitive Guide</em> and Rich Iannone, creator of the Great Tables package, this workshop will provide a practical, hands-on introduction to an end-to-end Python workflow.</p>
<p>We will move beyond the basics of syntax to focus on a modern stack that prioritizes readability and performance. Using Positron as our development environment, we’ll navigate a complete project lifecycle. The workshop covers:</p>
<ul>
<li>Data Manipulation: performant data wrangling using Polars.</li>
<li>Visualization: implementing the Grammar of Graphics in Python with Plotnine.</li>
<li>Reporting: creating presentation-ready tables with Great Tables.</li>
<li>Modeling: building machine learning models using Scikit-Learn.</li>
</ul>
<p>The workshop is structured around a single case study. You’ll work through a series of exercises designed to help you get familiar with these tools. By the end of the day, you’ll have a good idea of how to translate your data science skills into a Python context and a repository of code examples to apply to future projects.&nbsp;</p>
<p>This workshop is a great fit for those getting started with data science as well as R users who want to get their feet wet with Python for doing data science.</p>
",2026-09-14 14:00:00,2026-09-14 22:00:00,"2026-09-14 09:00:00 CDT","2026-09-14 17:00:00 CDT","In-person","IN_PERSON","Lanier K"
"60cbec55-d561-4967-a7b3-784c27455bd2","67f792e2-7e20-419a-915c-e852dcaf2d69","Our Modern R Workflow (ft. Positron and AI)","<p>This workshop is designed for data scientists who are comfortable with using R for data analysis and ready to level up their software engineering skills. Led by Hadley Wickham and Jenny Bryan, you’ll learn how to write more robust, maintainable R code while taking advantage of modern tooling (cough AI cough) that can dramatically accelerate your productivity.</p>
<p>We’ll cover three interconnected themes. First, you’ll learn contemporary R development practices—writing functions, organizing code into packages, testing, and documentation strategies that scale from personal projects to team collaboration. Second, we’ll explore how AI assistants like Claude Code can help you write better R code faster. Third, we’ll share practical tips for getting the most out of Positron, including features specifically designed to make R development and data exploration more fluid.</p>
<p>Throughout the workshop, we’ll emphasize the connections between these topics: how good development practices make AI assistance more effective, how modern tooling reduces friction so you can focus on the interesting problems, and how to build workflows that are both efficient and reproducible. You’ll leave with concrete skills you can apply immediately to your own projects.</p>
<p>Prerequisites: Basic familiarity with R programming (e.g. using the tidyverse). You should have written a few functions before, but don’t need any experience with package development, AI coding tools, or Positron. If you have taken a package development workshop before, you’ll learn what’s changed in our workflows, especially how we’re using AI and Positron effectively.</p>
",2026-09-14 14:00:00,2026-09-14 22:00:00,"2026-09-14 09:00:00 CDT","2026-09-14 17:00:00 CDT","In-person","IN_PERSON","Room 335"
"6e742d58-9325-4bd5-bea1-3cd37592b238","21f53821-965e-4e1f-8a5c-4b4d687ea6da","Practical Machine Learning with tidymodels","<p>Learn how to successfully develop Machine Learning using R. tidymodels is a complete framework that implements modeling best practices using tidyverse principles. The tidymodels framework is a collection of packages for modeling and machine learning using tidyverse principles.&nbsp;</p>
<p>Led by Max Kuhn and Emil Hvitfeldt, this workshop will teach you core tidymodels packages to preprocess data, specify and train models, and optimize the tuning parameter. You’ll learn tidymodels syntax as well as the process of predictive modeling for tabular data.  Time permitting, you’ll be introduced to basic pre-processing with recipes.</p>
<p>This workshop is for you if you:</p>
<ul>
<li>Are comfortable using tidyverse packages to read data into R, transform and reshape data, and make a variety of graphs, and</li>
<li>Have some experience with modeling, such as linear regression, logistic regression, or tree-based models.&nbsp;</li>
</ul>
<p>While the workshop will teach some terminology and modeling philosophy, it is primarily focused on showing users how to effectively develop, iterate, and validate a machine learning model.&nbsp;</p>
",2026-09-14 14:00:00,2026-09-14 22:00:00,"2026-09-14 09:00:00 CDT","2026-09-14 17:00:00 CDT","In-person","IN_PERSON","Lanier H"
"0086f71f-e70d-405b-90c6-45bdc7ccd091","0b192684-c20b-4475-a2e9-4694e0c6bfe7","Practical Quarto: Patterns, Templates, and Tooling","<p>This workshop is designed for Quarto users who want to update and extend their Quarto mastery. Led by Charlotte Wickham and Mine Çetinkaya-Rundel, this workshop will introduce new features of Quarto as well as blend practical recipes with conceptual understanding, so you can both copy–paste what works and understand why it works. Rather than a linear tour of Quarto features, the workshop is organized as a collection of focused, reusable patterns—each one solving a real authoring or publishing problem you’re likely to encounter.</p>
<p>Themes will include:</p>
<ul>
<li>Design once, use anywhere: Learn how to work effectively with light and dark modes, brands, and renderings, and how to share a consistent brand across multiple Quarto projects without duplication or fragility.</li>
<li>Build reusable structures: Use template partials to factor out repeated content and layouts, making large or long-lived projects easier to maintain and evolve.</li>
<li>Understand why Typst matters: Explore why Typst deserves a place on your radar, with concrete “quick wins” that show how it can dramatically simplify PDF generation.</li>
<li>Work productively in Positron: Pick up Positron- and Quarto-specific productivity tips, including auto-formatting with Air, and practical ways to incorporate LLMs into your Quarto workflow.</li>
<li>Master freezing and reproducibility: Demystify freeze—when to check it in to version control, when to refresh it, and how to use it intentionally to balance reproducibility, performance, and collaboration.</li>
</ul>
<p>By the end of the workshop, you’ll have a curated set of Quarto recipes and a mental model for how the pieces fit together. You’ll leave the workshop equipped to create more polished documents, scale your workflows across projects and teams, and make deliberate, informed choices about tools, formats, and authoring strategies.</p>
",2026-09-14 14:00:00,2026-09-14 22:00:00,"2026-09-14 09:00:00 CDT","2026-09-14 17:00:00 CDT","In-person","IN_PERSON","Lanier L"
"1fba18c2-7156-463f-979e-bc2bad27eebd","d8620962-5c2a-42be-a98c-595a558b37f4","Programming with LLMs in R and Python","<p>Large Language Models (LLMs) offer developers unprecedented programmatic capabilities. Led by Garrick Aden-Buie and Sara Altman, this workshop will introduce ellmer (R) and chatlas (Python), Posit packages that simplify LLM API integration, handling conversation complexities and enabling seamless interactions with AI models. You’ll gain a conceptual understanding of both ecosystems, but you can choose your own adventure (R or Python) for hands-on coding sessions.&nbsp;</p>
<p>Participants will explore system prompt design, token management, and tool calling while building familiarity with current AI technologies. The workshop demonstrates that:</p>
<ul>
<li>Coding with LLMs unlocks possibilities beyond standard tools</li>
<li>No advanced AI background is required</li>
<li>Implementing AI can be both accessible and exciting</li>
</ul>
<p>Designed for AI newcomers and experienced developers, the session covers LLM integration, Shiny web app development, and touches on advanced topics like dynamic information retrieval, context engineering, and agentic workflows. Attendees will gain hands-on experience through guided exercises, providing the confidence to start their LLM journey. As a dual-language workshop, attendees can choose hands-on practice in R or Python.</p>
",2026-09-14 14:00:00,2026-09-14 22:00:00,"2026-09-14 09:00:00 CDT","2026-09-14 17:00:00 CDT","In-person","IN_PERSON","Lanier I"
"72438d92-1e76-4b20-84a9-329422a25a68","810f3dac-a0f6-44d4-92ca-6d030114be1e","Getting Started with Positron: An AI-Ready Polyglot Workflow for Data Science","<p>This virtual three hour workshop provides a quick start for R and Python users who are curious about Positron, Posit’s new AI-ready polyglot code editor for data science. Here, you will learn how to use Positron’s time saving features to do a typical end-to-end data science task. Along the way, you will learn how to:</p>
<ul>
<li>Install packages and set up a reproducible environment</li>
<li>Connect to a database</li>
<li>Add Positron Extensions&nbsp;</li>
<li>Navigate the Command Palette</li>
<li>Configure Positron to use your favorite LLM model provider</li>
<li>Write, Edit, and Debug code with Positron’s built in AI Client</li>
<li>Use an LLM to explain and translate code</li>
<li>Learn the best practices for cleaning and exploring data with LLMs</li>
<li>Publish APIs, docs, apps and more with the Posit Publisher extension</li>
</ul>
<p>This workshop will be a good fit for you as long as you have a basic familiarity with at least one of R or Python. No installation is necessary. Posit will provide a cloud environment equipped with both Positron and the LLMs we will use during class.</p>
",2026-09-14 21:00:00,2026-09-15,"2026-09-14 16:00:00 CDT","2026-09-14 19:00:00 CDT","Virtual","VIRTUAL",
